component_catalog_id,brand_name,part_key,part_name,component_name,canonical_key,component_category,series_name,model_code,official_url,description
171,Shimano,derailleur,Derailleur,SHIMANO TOURNEY 7 SPEED,derailleur_shimano_tourney_7_speed,Derailleur,,,,Derailleur: SHIMANO TOURNEY 7 SPEED
172,oyama,frame,Frame,OYAMA 20”ALLOY W/AA JOINT,frame_oyama_20_alloy_w_aa_joint,Frame,,,,Frame: OYAMA 20”ALLOY W/AA JOINT
173,oyama,fork,Fork,OYAMA 20”ALLOY,fork_oyama_20_alloy,Fork,,,,Fork: OYAMA 20”ALLOY
174,Shimano,chain,Chain,SHIMANO CAPREO FC-F800 x45T,chainwheel_shimano_capreo_fc_f800_x45t,Chainwheel,,,,Chainwheel: SHIMANO CAPREO FC-F800 x45T
175,Shimano,cassette,Cassette,SHIMANO 9T-26T 9 SPEED,cassette_shimano_9t_26t_9_speed,Cassette,,,,Cassette: SHIMANO 9T-26T 9 SPEED
176,Shimano,derailleur,Derailleur,SHIMANO CAPREO 9 SPEED,derailleur_shimano_capreo_9_speed,Derailleur,,,,Derailleur: SHIMANO CAPREO 9 SPEED
177,oyama,derailleur,Derailleur,MICROSHIFT 18 SPEED,derailleur_microshift_18_speed,Derailleur,,,,Derailleur: MICROSHIFT 18 SPEED
178,oyama,frame,Frame,"OYAMA 29"" x 18"" ALLOY",frame_oyama_29_x_18_alloy,Frame,,,,"Frame: OYAMA 29"" x 18"" ALLOY"
179,oyama,fork,Fork,RST FIRST 29 AIR,fork_rst_first_29_air,Fork,,,,Fork: RST FIRST 29 AIR
180,Shimano,derailleur,Derailleur,SHIMANO SLX/DEORE 27S,derailleur_shimano_slx_deore_27s,Derailleur,,,,Derailleur: SHIMANO SLX/DEORE 27S
181,Shimano,brake,Brake,SHIMANO HYDRAULIC DISC,brake_shimano_hydraulic_disc,Brake,,,,Brake: SHIMANO HYDRAULIC DISC
182,Schwalbe,tyre,Tyre,SCHWALBE RAPID ROB,tire_schwalbe_rapid_rob,Tire,,,,Tire: SCHWALBE RAPID ROB
183,oyama,frame,Frame,"OYAMA 27.5"" X 19"" ALLOY",frame_oyama_27_5_x_19_alloy,Frame,,,,"Frame: OYAMA 27.5"" X 19"" ALLOY"
184,oyama,fork,Fork,SUNTOUR SUS. SF14-XCT,fork_suntour_sus_sf14_xct,Fork,,,,Fork: SUNTOUR SUS. SF14-XCT
185,Shimano,derailleur,Derailleur,SHIMANO ACERA RD-M360 COMB. 24S,derailleur_shimano_acera_rd_m360_comb_24s,Derailleur,,,,Derailleur: SHIMANO ACERA RD-M360 COMB. 24S
186,oyama,brake,Brake,TEKTRO NOVELA MECHANICAL DISC,brake_tektro_novela_mechanical_disc,Brake,,,,Brake: TEKTRO NOVELA MECHANICAL DISC
187,Shimano,chain,Chain,SHIMANO FC-M131 42/34/24T,chainwheel_shimano_fc_m131_42_34_24t,Chainwheel,,,,Chainwheel: SHIMANO FC-M131 42/34/24T
188,oyama,tyre,Tyre,KENDA 27.5 X 2.2BK,tire_kenda_27_5_x_2_2bk,Tire,,,,Tire: KENDA 27.5 X 2.2BK
189,oyama,frame,Frame,"OYAMA 26"" X 18"" ALLOY",frame_oyama_26_x_18_alloy,Frame,,,,"Frame: OYAMA 26"" X 18"" ALLOY"
190,oyama,fork,Fork,RST SUS. CAPA-T-26,fork_rst_sus_capa_t_26,Fork,,,,Fork: RST SUS. CAPA-T-26
191,Shimano,derailleur,Derailleur,SHIMANO ALTUS RD-M280 21S,derailleur_shimano_altus_rd_m280_21s,Derailleur,,,,Derailleur: SHIMANO ALTUS RD-M280 21S
192,oyama,brake,Brake,PROMAX ALLOY V BRAKE,brake_promax_alloy_v_brake,Brake,,,,Brake: PROMAX ALLOY V BRAKE
193,oyama,tyre,Tyre,"KENDA 26""X 2.1 BK",tire_kenda_26_x_2_1_bk,Tire,,,,"Tire: KENDA 26""X 2.1 BK"
194,oyama,fork,Fork,700C*540MM ULTRALIGHT CARBON,fork_700c_540mm_ultralight_carbon,Fork,,,,Fork: 700C*540MM ULTRALIGHT CARBON
195,Sram,brake,Brake,SRAM FORCE DISC,brakes_sram_force_disc,Brakes,,,,Brakes: SRAM FORCE DISC
196,Sram,derailleur,Derailleur,SRAM FORCE,derailleur_sram_force,Derailleur,,,,Derailleur: SRAM FORCE
197,Sram,crankset,Crankset,SRAM FORCE 50*34T,cranks_sram_force_50_34t,Cranks,,,,Cranks: SRAM FORCE 50*34T
198,oyama,tyre,Tyre,VICTORIA ZAFFIRO PRO 700CX25C,tires_victoria_zaffiro_pro_700cx25c,Tires,,,,Tires: VICTORIA ZAFFIRO PRO 700CX25C
199,oyama,seatpost,Seatpost,FSA UD CARBON SHAFT W/ALLOY HEAD 31.6 X350mm,seatpost_fsa_ud_carbon_shaft_w_alloy_head_31_6_x350mm,Seatpost,,,,Seatpost: FSA UD CARBON SHAFT W/ALLOY HEAD 31.6 X350mm
200,oyama,handlebar,Handlebar,UD CARBON 31.8MM,handlebar_ud_carbon_31_8mm,Handlebar,,,,Handlebar: UD CARBON 31.8MM
201,oyama,fork,Fork,SR SUNTOUR NEX-HLO-DS,fork_sr_suntour_nex_hlo_ds,Fork,,,,Fork: SR SUNTOUR NEX-HLO-DS
202,oyama,shock,Shock,N/A,shock_n_a,Shock,,,,Shock: N/A
203,oyama,brake,Brake,TEKTRO Hydraulic Disc Brake,brake_tektro_hydraulic_disc_brake,Brake,,,,Brake: TEKTRO Hydraulic Disc Brake
204,oyama,wheel,Wheel,Alloy 700C,wheelset_alloy_700c,Wheelset,,,,Wheelset: Alloy 700C
205,oyama,tyre,Tyre,"KENDA K-1065, 700x35 C",tires_kenda_k_1065_700x35_c,Tires,,,,"Tires: KENDA K-1065, 700x35 C"
206,oyama,frame,Frame,OYAMA 700C 3D carbon frame,frame_oyama_700c_3d_carbon_frame,Frame,,,,Frame: OYAMA 700C 3D carbon frame
207,Shimano,brake,Brake,SHIMANO ULTEGRA Hydraulic Disc Brake,brakes_shimano_ultegra_hydraulic_disc_brake,Brakes,,,,Brakes: SHIMANO ULTEGRA Hydraulic Disc Brake
208,Shimano,derailleur,Derailleur,SHIMANO ULTEGRA,derailleur_shimano_ultegra,Derailleur,,,,Derailleur: SHIMANO ULTEGRA
209,oyama,tyre,Tyre,CST 700C*40C,tires_cst_700c_40c,Tires,,,,Tires: CST 700C*40C
210,oyama,handlebar,Handlebar,Ritchey Alloy 3D Forged,handlebar_ritchey_alloy_3d_forged,Handlebar,,,,Handlebar: Ritchey Alloy 3D Forged
211,oyama,frame,Frame,REYNOLDS 525 CR-MO,frame_reynolds_525_cr_mo,Frame,,,,Frame: REYNOLDS 525 CR-MO
212,oyama,fork,Fork,CARBON,fork_carbon,Fork,,,,Fork: CARBON
213,Shimano,brake,Brake,SHIMANO SORA,brakes_shimano_sora,Brakes,,,,Brakes: SHIMANO SORA
214,Shimano,derailleur,Derailleur,SHIMANO SORA 3*9 SPEED 11-32T,derailleur_shimano_sora_3_9_speed_11_32t,Derailleur,,,,Derailleur: SHIMANO SORA 3*9 SPEED 11-32T
215,oyama,crankset,Crankset,ALEX AT470,cranks_alex_at470,Cranks,,,,Cranks: ALEX AT470
216,Vittoria,tyre,Tyre,VITTORIA ZAFFIRO 700*25C,tires_vittoria_zaffiro_700_25c,Tires,,,,Tires: VITTORIA ZAFFIRO 700*25C
217,oyama,fork,Fork,CR-MO,fork_cr_mo,Fork,,,,Fork: CR-MO
218,oyama,shifter,Shifter,TEKTRO FORGED ALLOY CANTILEVERS,brakes_tektro_forged_alloy_cantilevers,Brakes,,,,Brakes: TEKTRO FORGED ALLOY CANTILEVERS
219,Shimano,shifter,Shifter,SHIMANO TIAGRA / MICROSHIFT SHIFTERS 3*9 SPEED 11-32T,derailleur_shimano_tiagra_microshift_shifters_3_9_speed_11_32t,Derailleur,,,,Derailleur: SHIMANO TIAGRA / MICROSHIFT SHIFTERS 3*9 SPEED 11-32T
220,oyama,crankset,Crankset,ALEX ACE 19,cranks_alex_ace_19,Cranks,,,,Cranks: ALEX ACE 19
221,Vittoria,tyre,Tyre,VITTORIA RANDONNEUR 700*32C,tires_vittoria_randonneur_700_32c,Tires,,,,Tires: VITTORIA RANDONNEUR 700*32C
222,oyama,frame,Frame,OYAMA 4130 CR-MO,frame_oyama_4130_cr_mo,Frame,,,,Frame: OYAMA 4130 CR-MO
223,oyama,fork,Fork,HI-TEN,fork_hi_ten,Fork,,,,Fork: HI-TEN
224,oyama,brake,Brake,N/A,brakes_n_a,Brakes,,,,Brakes: N/A
225,oyama,derailleur,Derailleur,N/A,derailleur_n_a,Derailleur,,,,Derailleur: N/A
226,oyama,crankset,Crankset,ALLOY RIM ANODE BLACK W/CNC,cranks_alloy_rim_anode_black_w_cnc,Cranks,,,,Cranks: ALLOY RIM ANODE BLACK W/CNC
227,oyama,tyre,Tyre,700*28C,tires_700_28c,Tires,,,,Tires: 700*28C
228,specialized,crankset,Crankset,165mm,crank_length_165mm,Crank Length,,,,Crank Length: 165mm
229,specialized,handlebar,Handlebar,380mm,handlebar_width_380mm,Handlebar Width,,,,Handlebar Width: 380mm
230,specialized,saddle,Saddle,155mm,saddle_width_155mm,Saddle Width,,,,Saddle Width: 155mm
231,specialized,seatpost,Seatpost,300mm,seatpost_length_300mm,Seatpost Length,,,,Seatpost Length: 300mm
232,specialized,fork,Fork,50mm,fork_rake_offset_50mm,Fork Rake/Offset,,,,Fork Rake/Offset: 50mm
233,specialized,seatpost,Seatpost,350mm,seatpost_length_350mm,Seatpost Length,,,,Seatpost Length: 350mm
234,specialized,fork,Fork,55mm,fork_rake_offset_55mm,Fork Rake/Offset,,,,Fork Rake/Offset: 55mm
235,specialized,chain,Chain,435mm,chain_stay_length_435mm,Chain-Stay Length,,,,Chain-Stay Length: 435mm
236,specialized,fork,Fork,47mm,fork_rake_offset_47mm,Fork Rake/Offset,,,,Fork Rake/Offset: 47mm
237,trek,brake,Brake,00.5018.234.001,sram_paceline_x_brake_rotor_rounded_centerlock_160mm_sram_pn_00_5018_234_001,"SRAM Paceline X Brake Rotor, Rounded, Centerlock, 160mm, SRAM PN",,,,"SRAM Paceline X Brake Rotor, Rounded, Centerlock, 160mm, SRAM PN: 00.5018.234.001"
238,trek,cassette,Cassette,00.2418.130.000,sram_red_xg_1290_e1_cassette_10_33t_12_speed_sram_pn_00_2418_130_000,"SRAM RED XG-1290 E1 Cassette, 10-33T, 12 Speed, SRAM PN",,,,"SRAM RED XG-1290 E1 Cassette, 10-33T, 12 Speed, SRAM PN: 00.2418.130.000"
239,trek,crankset,Crankset,00.6118.679.006,sram_red_axs_e1_crankset_w_power_meter_48_35t_dub_160mm_length_sram_pn_00_6118_679_006,"SRAM RED AXS E1 Crankset w/ Power Meter, 48/35T, DUB, 160mm Length, SRAM PN",,,,"SRAM RED AXS E1 Crankset w/ Power Meter, 48/35T, DUB, 160mm Length, SRAM PN: 00.6118.679.006"
240,trek,frame,Frame,"27.5"") 150mm Generations Shop fat bikes Learn about fat bikes Farley 27.5"" 80mm Shop dirt jump/slopestyle Ticket 26"" Frameset only Need help? Use our bike finder Go",hardtail_cross_country_trail_fat_bikes_dirt_jump_slopestyle_shop_hardtails_learn_about_hardtails_shop_cross_country_lear,"Hardtail Cross country Trail Fat bikes Dirt jump/slopestyle Shop hardtails Learn about hardtails Shop cross country Learn about cross country Procaliber 29"" 120mm Generations Marlin Smart Wheel Size 100mm Generations Marlin+ 29"" 120mm Bosch 50Nm 400Wh Learn about trail Roscoe 29""(S",,,,"Hardtail Cross country Trail Fat bikes Dirt jump/slopestyle Shop hardtails Learn about hardtails Shop cross country Learn about cross country Procaliber 29"" 120mm Generations Marlin Smart Wheel Size 100mm Generations Marlin+ 29"" 120mm Bosch 50Nm 400Wh Learn about trail Roscoe 29""(S: 27.5"") 150mm Generations Shop fat bikes Learn about fat bikes Farley 27.5"" 80mm Shop dirt jump/slopestyle Ticket 26"" Frameset only Need help? Use our bike finder Go"
241,Shimano,component,Component,CYCLE COMPUTER,cycle_computer,,,https://bike.shimano.com/products/components/pdp.P-SC-EN610.html,https://bike.shimano.com/products/components/pdp.P-SC-EN610.html,View essential riding data with the vivid SHIMANO E-BIKE SYSTEMS SC-EN610 large color display for e-Trekking and e-City bikes.
242,Shimano,component,Component,CYCLE COMPUTER WITH ASSIST SWITCH (SD300 PORT),cycle_computer_with_assist_switch_sd300_port,,,https://bike.shimano.com/products/components/pdp.P-SC-EN500.html,https://bike.shimano.com/products/components/pdp.P-SC-EN500.html,"Simplify your e-City or e-Trekking bike's cockpit with the affordable, easy-to-operate SHIMANO SC-EN500 assist switch with LCD."
243,Shimano,shifter,Shifter,DOWN TUBE SHIFT LEVER 2X6s (FRICTION),down_tube_shift_lever_2x6s_friction,,,https://bike.shimano.com/products/components/pdp.P-SL-SY20A-6.html,https://bike.shimano.com/products/components/pdp.P-SL-SY20A-6.html,"The SHIMANO SL-SY20A-6 is a down tube shift lever for road bikes. It provides light, friction shifting for 2x6-speed drivetrains."
244,Shimano,component,Component,JUNCTION A FOR E-BIKE,junction_a_for_e_bike,,,https://bike.shimano.com/products/components/pdp.P-EW-EN100.html,https://bike.shimano.com/products/components/pdp.P-EW-EN100.html,"For a simple, clean cockpit, the EN100 E-TUBE connection provides a minimal display and wireless communication to 3rd party displays and smartphone applications."
245,Shimano,shifter,Shifter,REVOSHIFT SHIFT LEVER 3s,revoshift_shift_lever_3s,,,https://bike.shimano.com/products/components/pdp.P-SL-RV400-LN.html,https://bike.shimano.com/products/components/pdp.P-SL-RV400-LN.html,The refreshed REVOSHIFT SL-RV400-LN 3-speed left shifter has a comfortable ergonomic grip design and lighter shifting operation for riders with smaller hands. Its easy-to-read display helps newcomers track gear position.
246,Shimano,shifter,Shifter,REVOSHIFT SHIFT LEVER DUAL SIS INDEX 3s,revoshift_shift_lever_dual_sis_index_3s,,,https://bike.shimano.com/products/components/pdp.P-SL-RV400-L.html,https://bike.shimano.com/products/components/pdp.P-SL-RV400-L.html,The refreshed REVOSHIFT SL-RV400-L 3-speed left shifter has a comfortable ergonomic grip design and lighter shifting operation for riders with smaller hands. Its easy-to-read display and the satisfying &quot;click&quot; of SIS INDEX shifting helps newcomers track gear position.
247,Shimano,shifter,Shifter,REVOSHIFT SHIFT LEVER SIS INDEX 8s,revoshift_shift_lever_sis_index_8s,,,https://bike.shimano.com/products/components/pdp.P-SL-RV400-8R.html,https://bike.shimano.com/products/components/pdp.P-SL-RV400-8R.html,The refreshed REVOSHIFT SL-RV400-8R 8-speed right shifter has a comfortable ergonomic grip design and lighter shifting operation for riders with smaller hands. Its easy-to-read display and the satisfying &quot;click&quot; of SIS INDEX shifting helps newcomers track gear position.
248,Sram,component,Component,EAGLE 70 TRANSMISSION,eagle_70_transmission,,,https://www.sram.com/en/sram/mountain/series/eagle-70-transmission,https://www.sram.com/en/sram/mountain/series/eagle-70-transmission,"Eagle 70 Transmission | SRAM {{ data.msg }} Your browser does not support all of our website’s functionality. For an improved shopping experience, we recommend that you use the most recent versions of Google Chrome, Safari, or Firefox. Either you have JavaScript disabled or your browser does not support JavaScript. To work properly, this page requires JavaScript to be enabled or to use the most recent versions of Google Chrome, Safari, or Firefox. SRAM Rockshox Truvativ Zipp Quarq TIME Sport Hammerhead Velocio Ochain World Bicycle Relief EN English Change Region Mountain Systems Systems Eagle Transmission Eagle Powertrain Eagle Drivetrain Brakes Ochain Series Series Transmission XX SL Eagle XX Eagle XX DH X0 Eagle GX Eagle Eagle 90 Eagle 70 Eagle 1987 - Limited Edition Drivetrain Eagle S-S"
249,Sram,component,Component,EAGLE DRIVETRAIN,eagle_drivetrain,,,https://www.sram.com/en/sram/mountain/series/eagle-drivetrain/collection,https://www.sram.com/en/sram/mountain/series/eagle-drivetrain/collection,"Collection | SRAM {{ data.msg }} Your browser does not support all of our website’s functionality. For an improved shopping experience, we recommend that you use the most recent versions of Google Chrome, Safari, or Firefox. Either you have JavaScript disabled or your browser does not support JavaScript. To work properly, this page requires JavaScript to be enabled or to use the most recent versions of Google Chrome, Safari, or Firefox. SRAM Rockshox Truvativ Zipp Quarq TIME Sport Hammerhead Velocio Ochain World Bicycle Relief EN English Change Region Mountain Systems Systems Eagle Transmission Eagle Powertrain Eagle Drivetrain Brakes Ochain Series Series Transmission XX SL Eagle XX Eagle XX DH X0 Eagle GX Eagle Eagle 90 Eagle 70 Eagle 1987 - Limited Edition Drivetrain Eagle S-Series XX1 E"
250,Sram,component,Component,EAGLE POWERTRAIN,eagle_powertrain,,,https://www.sram.com/en/sram/mountain/collections/eagle-powertrain,https://www.sram.com/en/sram/mountain/collections/eagle-powertrain,"Eagle Powertrain | SRAM {{ data.msg }} Your browser does not support all of our website’s functionality. For an improved shopping experience, we recommend that you use the most recent versions of Google Chrome, Safari, or Firefox. Either you have JavaScript disabled or your browser does not support JavaScript. To work properly, this page requires JavaScript to be enabled or to use the most recent versions of Google Chrome, Safari, or Firefox. SRAM Rockshox Truvativ Zipp Quarq TIME Sport Hammerhead Velocio Ochain World Bicycle Relief EN English Change Region Mountain Systems Systems Eagle Transmission Eagle Powertrain Eagle Drivetrain Brakes Ochain Series Series Transmission XX SL Eagle XX Eagle XX DH X0 Eagle GX Eagle Eagle 90 Eagle 70 Eagle 1987 - Limited Edition Drivetrain Eagle S-Series"
251,Sram,component,Component,EAGLE TRANSMISSION,eagle_transmission,,,https://www.sram.com/en/sram/mountain/collections/eagle-transmission,https://www.sram.com/en/sram/mountain/collections/eagle-transmission,"Eagle Transmission | SRAM {{ data.msg }} Your browser does not support all of our website’s functionality. For an improved shopping experience, we recommend that you use the most recent versions of Google Chrome, Safari, or Firefox. Either you have JavaScript disabled or your browser does not support JavaScript. To work properly, this page requires JavaScript to be enabled or to use the most recent versions of Google Chrome, Safari, or Firefox. SRAM Rockshox Truvativ Zipp Quarq TIME Sport Hammerhead Velocio Ochain World Bicycle Relief EN English Change Region Mountain Systems Systems Eagle Transmission Eagle Powertrain Eagle Drivetrain Brakes Ochain Series Series Transmission XX SL Eagle XX Eagle XX DH X0 Eagle GX Eagle Eagle 90 Eagle 70 Eagle 1987 - Limited Edition Drivetrain Eagle S-Seri"
252,Sram,component,Component,Eagle Transmission 1987 Collection | SRAM,eagle_transmission_1987_collection_sram,,,https://www.sram.com/en/sram/mountain/series/eagle-transmission-1987-collection,https://www.sram.com/en/sram/mountain/series/eagle-transmission-1987-collection,"Eagle Transmission 1987 Collection | SRAM {{ data.msg }} Your browser does not support all of our website’s functionality. For an improved shopping experience, we recommend that you use the most recent versions of Google Chrome, Safari, or Firefox. Either you have JavaScript disabled or your browser does not support JavaScript. To work properly, this page requires JavaScript to be enabled or to use the most recent versions of Google Chrome, Safari, or Firefox. SRAM Rockshox Truvativ Zipp Quarq TIME Sport Hammerhead Velocio Ochain World Bicycle Relief EN English Change Region Mountain Systems Systems Eagle Transmission Eagle Powertrain Eagle Drivetrain Brakes Ochain Series Series Transmission XX SL Eagle XX Eagle XX DH X0 Eagle GX Eagle Eagle 90 Eagle 70 Eagle 1987 - Limited Edition Drivetr"
253,Sram,component,Component,GX EAGLE,gx_eagle,,,https://www.sram.com/en/sram/mountain/series/gx-eagle/gx-eagle,https://www.sram.com/en/sram/mountain/series/gx-eagle/gx-eagle,"GX Eagle | SRAM {{ data.msg }} Your browser does not support all of our website’s functionality. For an improved shopping experience, we recommend that you use the most recent versions of Google Chrome, Safari, or Firefox. Either you have JavaScript disabled or your browser does not support JavaScript. To work properly, this page requires JavaScript to be enabled or to use the most recent versions of Google Chrome, Safari, or Firefox. SRAM Rockshox Truvativ Zipp Quarq TIME Sport Hammerhead Velocio Ochain World Bicycle Relief EN English Change Region Mountain Systems Systems Eagle Transmission Eagle Powertrain Eagle Drivetrain Brakes Ochain Series Series Transmission XX SL Eagle XX Eagle XX DH X0 Eagle GX Eagle Eagle 90 Eagle 70 Eagle 1987 - Limited Edition Drivetrain Eagle S-Series XX1 Eag"
254,Sram,component,Component,GX EAGLE TRANSMISSION,gx_eagle_transmission,,,https://www.sram.com/en/sram/mountain/series/gx-eagle-transmission,https://www.sram.com/en/sram/mountain/series/gx-eagle-transmission,"GX Eagle Transmission | SRAM {{ data.msg }} Your browser does not support all of our website’s functionality. For an improved shopping experience, we recommend that you use the most recent versions of Google Chrome, Safari, or Firefox. Either you have JavaScript disabled or your browser does not support JavaScript. To work properly, this page requires JavaScript to be enabled or to use the most recent versions of Google Chrome, Safari, or Firefox. SRAM Rockshox Truvativ Zipp Quarq TIME Sport Hammerhead Velocio Ochain World Bicycle Relief EN English Change Region Mountain Systems Systems Eagle Transmission Eagle Powertrain Eagle Drivetrain Brakes Ochain Series Series Transmission XX SL Eagle XX Eagle XX DH X0 Eagle GX Eagle Eagle 90 Eagle 70 Eagle 1987 - Limited Edition Drivetrain Eagle S-S"
255,Sram,component,Component,Maven | SRAM,maven_sram,,,https://www.sram.com/en/sram/mountain/series/maven,https://www.sram.com/en/sram/mountain/series/maven,"Maven | SRAM {{ data.msg }} Your browser does not support all of our website’s functionality. For an improved shopping experience, we recommend that you use the most recent versions of Google Chrome, Safari, or Firefox. Either you have JavaScript disabled or your browser does not support JavaScript. To work properly, this page requires JavaScript to be enabled or to use the most recent versions of Google Chrome, Safari, or Firefox. SRAM Rockshox Truvativ Zipp Quarq TIME Sport Hammerhead Velocio Ochain World Bicycle Relief EN English Change Region Mountain Systems Systems Eagle Transmission Eagle Powertrain Eagle Drivetrain Brakes Ochain Series Series Transmission XX SL Eagle XX Eagle XX DH X0 Eagle GX Eagle Eagle 90 Eagle 70 Eagle 1987 - Limited Edition Drivetrain Eagle S-Series XX1 Eagle "
256,Sram,component,Component,NX EAGLE,nx_eagle,,,https://www.sram.com/en/sram/mountain/series/nx-eagle,https://www.sram.com/en/sram/mountain/series/nx-eagle,"NX Eagle | SRAM {{ data.msg }} Your browser does not support all of our website’s functionality. For an improved shopping experience, we recommend that you use the most recent versions of Google Chrome, Safari, or Firefox. Either you have JavaScript disabled or your browser does not support JavaScript. To work properly, this page requires JavaScript to be enabled or to use the most recent versions of Google Chrome, Safari, or Firefox. SRAM Rockshox Truvativ Zipp Quarq TIME Sport Hammerhead Velocio Ochain World Bicycle Relief EN English Change Region Mountain Systems Systems Eagle Transmission Eagle Powertrain Eagle Drivetrain Brakes Ochain Series Series Transmission XX SL Eagle XX Eagle XX DH X0 Eagle GX Eagle Eagle 90 Eagle 70 Eagle 1987 - Limited Edition Drivetrain Eagle S-Series XX1 Eag"
257,Sram,chain,Chain,Ochain | SRAM,ochain_sram,,,https://www.sram.com/en/sram/mountain/series/ochain,https://www.sram.com/en/sram/mountain/series/ochain,"Ochain | SRAM {{ data.msg }} Your browser does not support all of our website’s functionality. For an improved shopping experience, we recommend that you use the most recent versions of Google Chrome, Safari, or Firefox. Either you have JavaScript disabled or your browser does not support JavaScript. To work properly, this page requires JavaScript to be enabled or to use the most recent versions of Google Chrome, Safari, or Firefox. SRAM Rockshox Truvativ Zipp Quarq TIME Sport Hammerhead Velocio Ochain World Bicycle Relief EN English Change Region Mountain Systems Systems Eagle Transmission Eagle Powertrain Eagle Drivetrain Brakes Ochain Series Series Transmission XX SL Eagle XX Eagle XX DH X0 Eagle GX Eagle Eagle 90 Eagle 70 Eagle 1987 - Limited Edition Drivetrain Eagle S-Series XX1 Eagle"
258,Sram,brake,Brake,SRAM BRAKES,sram_brakes,,,https://www.sram.com/en/sram/mountain/collections/brakes,https://www.sram.com/en/sram/mountain/collections/brakes,"Brakes | SRAM {{ data.msg }} Your browser does not support all of our website’s functionality. For an improved shopping experience, we recommend that you use the most recent versions of Google Chrome, Safari, or Firefox. Either you have JavaScript disabled or your browser does not support JavaScript. To work properly, this page requires JavaScript to be enabled or to use the most recent versions of Google Chrome, Safari, or Firefox. SRAM Rockshox Truvativ Zipp Quarq TIME Sport Hammerhead Velocio Ochain World Bicycle Relief EN English Change Region Mountain Systems Systems Eagle Transmission Eagle Powertrain Eagle Drivetrain Brakes Ochain Series Series Transmission XX SL Eagle XX Eagle XX DH X0 Eagle GX Eagle Eagle 90 Eagle 70 Eagle 1987 - Limited Edition Drivetrain Eagle S-Series XX1 Eagle"
259,Sram,component,Component,SRAM EAGLE 90 TRANSMISSION,sram_eagle_90_transmission,,,https://www.sram.com/en/sram/mountain/series/eagle-90-transmission,https://www.sram.com/en/sram/mountain/series/eagle-90-transmission,"Eagle 90 Transmission | SRAM {{ data.msg }} Your browser does not support all of our website’s functionality. For an improved shopping experience, we recommend that you use the most recent versions of Google Chrome, Safari, or Firefox. Either you have JavaScript disabled or your browser does not support JavaScript. To work properly, this page requires JavaScript to be enabled or to use the most recent versions of Google Chrome, Safari, or Firefox. SRAM Rockshox Truvativ Zipp Quarq TIME Sport Hammerhead Velocio Ochain World Bicycle Relief EN English Change Region Mountain Systems Systems Eagle Transmission Eagle Powertrain Eagle Drivetrain Brakes Ochain Series Series Transmission XX SL Eagle XX Eagle XX DH X0 Eagle GX Eagle Eagle 90 Eagle 70 Eagle 1987 - Limited Edition Drivetrain Eagle S-S"
260,Sram,component,Component,SX EAGLE,sx_eagle,,,https://www.sram.com/en/sram/mountain/series/sx-eagle,https://www.sram.com/en/sram/mountain/series/sx-eagle,"SX Eagle | SRAM {{ data.msg }} Your browser does not support all of our website’s functionality. For an improved shopping experience, we recommend that you use the most recent versions of Google Chrome, Safari, or Firefox. Either you have JavaScript disabled or your browser does not support JavaScript. To work properly, this page requires JavaScript to be enabled or to use the most recent versions of Google Chrome, Safari, or Firefox. SRAM Rockshox Truvativ Zipp Quarq TIME Sport Hammerhead Velocio Ochain World Bicycle Relief EN English Change Region Mountain Systems Systems Eagle Transmission Eagle Powertrain Eagle Drivetrain Brakes Ochain Series Series Transmission XX SL Eagle XX Eagle XX DH X0 Eagle GX Eagle Eagle 90 Eagle 70 Eagle 1987 - Limited Edition Drivetrain Eagle S-Series XX1 Eag"
261,Sram,component,Component,X0 EAGLE TRANSMISSION,x0_eagle_transmission,,,https://www.sram.com/en/sram/mountain/series/x0-eagle-transmission,https://www.sram.com/en/sram/mountain/series/x0-eagle-transmission,"X0 Eagle Transmission | SRAM {{ data.msg }} Your browser does not support all of our website’s functionality. For an improved shopping experience, we recommend that you use the most recent versions of Google Chrome, Safari, or Firefox. Either you have JavaScript disabled or your browser does not support JavaScript. To work properly, this page requires JavaScript to be enabled or to use the most recent versions of Google Chrome, Safari, or Firefox. SRAM Rockshox Truvativ Zipp Quarq TIME Sport Hammerhead Velocio Ochain World Bicycle Relief EN English Change Region Mountain Systems Systems Eagle Transmission Eagle Powertrain Eagle Drivetrain Brakes Ochain Series Series Transmission XX SL Eagle XX Eagle XX DH X0 Eagle GX Eagle Eagle 90 Eagle 70 Eagle 1987 - Limited Edition Drivetrain Eagle S-S"
262,Sram,component,Component,X01 EAGLE,x01_eagle,,,https://www.sram.com/en/sram/mountain/series/x01-eagle,https://www.sram.com/en/sram/mountain/series/x01-eagle,"X01 Eagle | SRAM {{ data.msg }} Your browser does not support all of our website’s functionality. For an improved shopping experience, we recommend that you use the most recent versions of Google Chrome, Safari, or Firefox. Either you have JavaScript disabled or your browser does not support JavaScript. To work properly, this page requires JavaScript to be enabled or to use the most recent versions of Google Chrome, Safari, or Firefox. SRAM Rockshox Truvativ Zipp Quarq TIME Sport Hammerhead Velocio Ochain World Bicycle Relief EN English Change Region Mountain Systems Systems Eagle Transmission Eagle Powertrain Eagle Drivetrain Brakes Ochain Series Series Transmission XX SL Eagle XX Eagle XX DH X0 Eagle GX Eagle Eagle 90 Eagle 70 Eagle 1987 - Limited Edition Drivetrain Eagle S-Series XX1 Ea"
